ID,Price
0,21416.002
1,37474.82
2,23213.66
3,9185.135
4,30037.371
5,15662.783
6,21432.916
7,27333.512
8,45929.418
9,14529.224
10,18340.62
11,16293.76
12,36661.848
13,19269.877
14,39691.793
15,5920.788
16,25633.268
17,32562.92
18,15076.842
19,22887.344
20,10587.096
21,22128.773
22,17546.83
23,17364.158
24,31218.734
25,16564.725
26,24897.47
27,30863.535
28,22970.041
29,24827.74
30,17818.389
31,37240.816
32,13681.359
33,23386.63
34,20191.154
35,17783.652
36,22104.703
37,42841.84
38,43713.49
39,40782.6
40,15428.043
41,13794.057
42,25273.012
43,36221.2
44,49531.598
45,16218.755
46,22324.955
47,19757.865
48,17354.97
49,16002.604
50,13211.947
51,18451.17
52,16989.178
53,12685.323
54,25556.816
55,16225.787
56,8665.744
57,15517.527
58,18177.291
59,19939.377
60,6833.6353
61,16646.533
62,21263.941
63,16901.137
64,5534.2324
65,17840.475
66,17382.996
67,9962.177
68,18058.697
69,14203.524
70,17104.668
71,32611.53
72,27726.695
73,51492.51
74,13983.384
75,6588.6963
76,6123.0977
77,10744.678
78,9816.308
79,14388.001
80,31561.74
81,12140.277
82,18980.527
83,15042.859
84,13541.211
85,13504.718
86,33070.453
87,12589.928
88,9282.924
89,35715.223
90,33139.926
91,29743.35
92,10393.389
93,28530.045
94,20576.326
95,21244.098
96,12224.183
97,10340.512
98,26856.324
99,24724.973
100,20962.19
101,6284.6533
102,31865.09
103,19434.346
104,20480.27
105,33857.758
106,23129.564
107,31646.326
108,49415.676
109,20964.27
110,13052.046
111,7477.26
112,19791.295
113,8963.999
114,14783.957
115,8823.403
116,16671.316
117,9429.178
118,5870.652
119,18020.533
120,8453.451
121,33121.297
122,12372.604
123,15533.498
124,8520.771
125,15948.424
126,27523.523
127,14329.357
128,28169.73
129,15141.833
130,20252.383
131,22419.178
132,29871.258
133,12632.965
134,13519.379
135,33634.78
136,14703.64
137,32048.648
138,14650.182
139,33878.4
140,16148.949
141,55987.055
142,32858.54
143,46567.484
144,10827.302
145,27699.727
146,26691.814
147,13028.186
148,32574.904
149,25055.219
150,19994.402
151,20106.889
152,17028.836
153,9520.276
154,17653.646
155,31463.287
156,31699.355
157,42150.555
158,9618.457
159,21209.281
160,14690.274
161,15449.533
162,15347.287
163,9391.928
164,16578.852
165,16246.562
166,14056.851
167,18351.354
168,26983.102
169,13347.486
170,33241.363
171,21982.125
172,11868.545
173,30553.986
174,7937.915
175,20029.322
176,21386.273
177,20883.9
178,12246.516
179,34518.43
180,7734.6216
181,18610.566
182,14209.65
183,15351.363
184,16579.87
185,17303.174
186,16344.213
187,24643.809
188,10982.922
189,18769.547
190,33914.99
191,12363.682
192,11273.412
193,14376.562
194,25113.154
195,12268.837
196,17269.412
197,13879.055
198,11524.157
199,19408.914
200,9568.815
201,19764.615
202,17727.645
203,25338.459
204,25837.33
205,13707.273
206,21826.34
207,14808.908
208,13949.208
209,13782.394
210,13668.621
211,20403.73
212,38801.33
213,40551.83
214,13498.385
215,18359.803
216,10024.528
217,24253.938
218,16242.278
219,43337.65
220,25784.762
221,20544.332
222,14207.973
223,19237.63
224,9076.377
225,12244.896
226,22984.64
227,10774.277
228,46966.875
229,29224.463
230,7970.857
231,14467.092
232,16757.416
233,18248.121
234,18519.686
235,21678.834
236,15758.154
237,21350.422
238,31187.85
239,23545.14
240,19856.746
241,25589.992
242,35072.25
243,12435.626
244,15758.274
245,12912.979
246,19784.027
247,28333.164
248,12169.417
249,30895.8
250,20237.623
251,10330.116
252,9699.156
253,15317.912
254,17259.316
255,14891.152
256,16824.463
